instancia,N,diagonal,clues,vars,clauses,resultado,tempo_s
sudoku_4_blank,4,0,0,64,448,SATISFIABLE,.003671650
sudoku_4_c6,4,0,6,64,454,SATISFIABLE,.003582131
sudoku_9_blank,9,0,0,729,11988,SATISFIABLE,.030513930
sudoku_9_c17,9,0,17,729,12005,SATISFIABLE,.007392123
sudoku_9_c30,9,0,30,729,12018,SATISFIABLE,.006714301
sudoku_9_unsat,9,0,30,729,12018,UNSATISFIABLE,.006228638
sudokux_9_c30_unsat,9,1,30,729,12684,UNSATISFIABLE,.006643051
sudokux_9_c30_sat,9,1,30,729,12684,SATISFIABLE,.006596494
sudoku_16_c50,16,0,50,4096,123954,SATISFIABLE,.034932899
sudoku_25_c100,25,0,100,15625,752600,SATISFIABLE,.953067717
